name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0017_mixed,20,mixed,133,screen_depth4,1027.455,928,1519,1519,591,5,4.391677916995832,True,11,0,True,127,133,0
terms_n20_0017_mixed,20,mixed,133,screen_single,1195.17,1084,1754,1754,670,4,0.012104959001590032,True,3,0,True,128,133,0
terms_n20_0018_deep,20,deep,204,adaptive_all_depth,2079.4849999999997,1888,3021,3021,1133,7,11.045090207997418,True,11,0,True,189,204,0
terms_n20_0018_deep,20,deep,204,depth2_guard_direct,2175.185,1976,3153,3153,1177,7,0.6438486250044662,True,7,0,True,189,204,0
terms_n20_0018_deep,20,deep,204,depth_frontier_policy,2079.4849999999997,1888,3021,3021,1133,7,7.723342083998432,True,11,0,True,189,204,0
terms_n20_0018_deep,20,deep,204,depth_policy,2175.185,1976,3153,3153,1177,7,0.6438486250044662,True,7,0,True,189,204,0
terms_n20_0018_deep,20,deep,204,direct_logical_and,2493.71,2268,3606,3606,1338,7,8.33999365568161e-07,True,1,0,True,204,204,0
terms_n20_0018_deep,20,deep,204,screen_depth1,2253.68,2048,3264,3264,1216,7,0.1318160410010023,True,5,0,True,192,204,0
terms_n20_0018_deep,20,deep,204,screen_depth2,2175.185,1976,3153,3153,1177,7,0.6438486250044662,True,7,0,True,189,204,0
terms_n20_0018_deep,20,deep,204,screen_depth3,2105.52,1912,3056,3056,1144,7,2.526628666993929,True,9,0,True,188,204,0
terms_n20_0018_deep,20,deep,204,screen_depth4,2079.4849999999997,1888,3021,3021,1133,7,7.723342083998432,True,11,0,True,189,204,0
terms_n20_0018_deep,20,deep,204,screen_single,2367.105,2152,3425,3425,1273,7,0.019454790999589022,True,3,0,True,197,204,0
terms_n20_0019_shallow,20,shallow,48,adaptive_all_depth,259.59,228,398,398,170,4,1.3506435840026825,True,11,0,True,56,48,0
